method,lang,format,message_len,success,t_embed_ms,t_extract_ms,added_chars,change_ratio,detect_score_before,detect_score_after
space,en,txt,16,False,0.2201999886892736,0.07650000043213367,0,0.0,0.0,0.0
space,en,txt,128,False,0.15769997844472528,0.013999990187585354,0,0.0,0.0,0.0
space,en,txt,512,False,0.5259999888949096,0.024300010409206152,0,0.0,0.0,0.0
space,en,html,16,False,0.029399991035461426,0.010399962775409222,0,0.0,0.0,0.0
space,en,html,128,False,0.14130002819001675,0.011999974958598614,0,0.0,0.0,0.0
space,en,html,512,False,0.5404999828897417,0.024500011932104826,0,0.0,0.0,0.0
space,en,pdf,16,False,0.1821999903768301,0.016600009985268116,0,0.0,0.0,0.0
space,en,pdf,128,False,0.1398000167682767,0.011400028597563505,0,0.0,0.0,0.0
space,en,pdf,512,False,0.5007999716326594,0.03709999145939946,0,0.0,0.0,0.0
space,ru,txt,16,False,0.049400026910007,0.009300012607127428,0,0.0,0.0,0.0
space,ru,txt,128,False,0.25949999690055847,0.010400020983070135,0,0.0,0.0,0.0
space,ru,txt,512,False,0.9467999916523695,0.023800006601959467,0,0.0,0.0,0.0
space,ru,html,16,False,0.0467000063508749,0.008700008038431406,0,0.0,0.0,0.0
space,ru,html,128,False,0.2513999934308231,0.011300027836114168,0,0.0,0.0,0.0
space,ru,html,512,False,1.2297999928705394,0.03029999788850546,0,0.0,0.0,0.0
space,ru,pdf,16,False,0.06390002090483904,0.008400005754083395,0,0.0,0.0,0.0
space,ru,pdf,128,False,0.2542000147514045,0.010699965059757233,0,0.0,0.0,0.0
space,ru,pdf,512,False,0.9492000099271536,0.023600005079060793,0,0.0,0.0,0.0
zw,en,txt,16,False,0.11610001092776656,0.38789998507127166,894,3.425287356321839,0.8112554112554112,0.8112554112554112
zw,en,txt,128,False,0.581999949645251,1.2265000259503722,6270,4.7899159663865545,0.855653780182082,0.855653780182082
zw,en,txt,512,False,2.18840001616627,4.259000008460134,24702,5.547271502357961,0.8723375064311439,0.8723375064311439
zw,en,html,16,False,0.10330002987757325,0.015700003132224083,894,3.425287356321839,0.8112554112554112,0.7035714285714286
zw,en,html,128,False,0.5783000378869474,0.019000028260052204,6270,4.7899159663865545,0.855653780182082,0.7404382741254933
zw,en,html,512,False,2.131099987309426,0.026099965907633305,24702,5.547271502357961,0.8723375064311439,0.7544952569729577
zw,en,pdf,16,False,0.10349997319281101,0.015799945686012506,894,3.425287356321839,0.8112554112554112,0.0
zw,en,pdf,128,False,0.5787999834865332,0.015199999324977398,6270,4.7899159663865545,0.855653780182082,0.0
zw,en,pdf,512,False,2.1312999888323247,0.015300000086426735,24702,5.547271502357961,0.8723375064311439,0.0
zw,ru,txt,16,False,0.22310001077130437,0.3684000112116337,1662,3.252446183953033,0.7648412333179936,0.7648412333179936
zw,ru,txt,128,False,1.019700022879988,1.44910003291443,7698,6.0187646598905395,0.8575247855631057,0.8575247855631057
zw,ru,txt,512,False,3.013900015503168,4.967899993062019,26130,6.005515973339462,0.8572553393917522,0.8572553393917522
zw,ru,html,16,False,0.22759998682886362,0.018300022929906845,1662,3.252446183953033,0.7648412333179936,0.6487119437939111
zw,ru,html,128,False,0.8225999772548676,0.02589996438473463,7698,6.0187646598905395,0.8575247855631057,0.7287288424400773
zw,ru,html,512,False,2.870699972845614,0.08440000237897038,26130,6.005515973339462,0.8572553393917522,0.7285776424532405
zw,ru,pdf,16,False,0.22380001610144973,0.013399985618889332,1662,3.252446183953033,0.7648412333179936,0.0
zw,ru,pdf,128,False,0.8236999856308103,0.020599982235580683,7698,6.0187646598905395,0.8575247855631057,0.0
zw,ru,pdf,512,False,2.884900022763759,0.02540001878514886,26130,6.005515973339462,0.8572553393917522,0.0
